idpreguntes,descripcio,tema,resposta1,resposta2,resposta3,resposta4,solucio
42,"Quin és l'ODS10?",1,"Reducció de les desigualtats","Ciutats i comunitats sostenibles","Indústria, innovació i infraestructura","Acció pel clima",1
43,"Quin és l'ODS11?",1,"Reducció de les desigualtats","Ciutats i comunitats sostenibles","Indústria, innovació i infraestructura","Acció pel clima",2
44,"Quin és l'ODS13?",1,"Reducció de les desigualtats","Ciutats i comunitats sostenibles","Indústria, innovació i infraestructura","Acció pel clima",4
45,"Quin és l'ODS14?",1,"Consum i producció responsables","Vida d'ecosistemes terrestres","Aliances per assolir els objectius","Vida submarina",4
46,"Quin és l'ODS15?",1,"Consum i producció responsables","Vida d'ecosistemes terrestres","Aliances per assolir els objectius","Vida submarina",2
47,"Quin és l'ODS17?",1,"Consum i producció responsables","Vida d'ecosistemes terrestres","Aliances per assolir els objectius","Vida submarina",3
54,"Quin no es uns dels principals reptes de la crisi climatica?",2,"Reducció de les emissions de gasos amb efecte d'hivernacle","Promoure una economia baixa en carboni","Augmentar l'impacte del canvi climàtic","Millorar l'educació, la sensibilització i la capacitación",3
55,"Quin no es un avantatge que te un pla de sostenibilitat?",6,"Mitiga l'impacte ambiental","Disminueix la productivitat i redueix costos","Compleix regulacions i normatives","Millora la reputació i atracció d'inversors",2
56,"Quin dels següents és un impacte ambiental del sector de serveis?",2,"Augment de la biodiversitat a les zones urbanes","Emissions de gasos d'efecte hivernacle a través de la mobilitat","Reducció de la desforestació","Increment de la disponibilitat d'aigua dolça",2
57,"Quina de les següents estratègies forma part de l'economia circular?",2,"Ús massiu de materials no reciclables","Disseny de productes d'un sol ús","Reciclatge i valorització de residus","Dependència exclusiva de combustibles fòssils",3
58,"Quin ODS promou l'ús d'energies netes i infraestructures sostenibles?",3,2,7,12,15,2
59,"Quina acció ajuda a consumir de manera responsable?",3,"Reduir els residus i reciclar adequadament","Augmentar el consum de plàstics d'un sol ús","Utilitzar vehicles contaminants de manera habitual","Ignorar les normatives locals de gestió de residus",1
60,"Quin és un principi clau en l'ecodisseny?",4,"Maximitzar l'ús de materials no reciclables","Minimitzar la vida útil del producte","Incrementar el consum d'energia durant la fabricació","Facilitar el desmuntatge per a reparació o reciclatge",4
61,"Quina estratègia ajuda a reduir l’impacte ambiental en la producció de béns?",4,"Utilitzar materials reciclats o biodegradables","Evitar la certificació ASG","Augmentar la generació de residus","Disminuir l’eficiència energètica",1
62,"Quin element és essencial en un hospital verd segons els criteris de sostenibilitat?",5," Sistemes d'energia renovable","Màxim ús de materials no reutilitzables","Eliminació de programes de reciclatge","Ús exclusiu de productes químics agressius",1
63,"Quina acció és pròpia de l'economia circular en el disseny de productes?",5,"Programar l'obsolescència dels components","Facilitar el desmuntatge per a reparació o reciclatge","Utilitzar materials no reciclables","Augmentar l'ús d'embalatges d'un sol ús",2
64,"Quin no és un dels principals beneficis d'un anàlisi de materialitat ASG?",6,"Mitigació de riscos","Millora de la comunicació amb els grups d’interès","Focalització en l’impacte positiu","Reduir la transparència",4
65,"Quina és una acció de bona governança en sostenibilitat?",6,"Contractar empleats sense formació en sostenibilitat","Ignorar normatives ambientals per estalviar costos","Crear un comitè de sostenibilitat al consell","No publicar informes de sostenibilitat per evitar crítiques",3
