idpreguntes,descripcio,tema,resposta1,resposta2,resposta3,resposta4,solucio
1,"Quin és l'ODS1?",1,"Fam zero","Educació de qualitat"," Salut i benestar","Fi de la pobresa",4
2,"Quin és l'ODS2?",1,"Fam zero","Educació de qualitat"," Salut i benestar","Fi de la pobresa",1
3,"Quin és l'ODS3?",1,"Fam zero","Educació de qualitat"," Salut i benestar","Fi de la pobresa",3
4,"Quin és l'ODS4?",1,"Fam zero","Educació de qualitat"," Salut i benestar","Fi de la pobresa",2
5,"Quin és l'ODS5?",1,"Energia assequible i no contaminant","Aigua neta i sanejament","Treball decent i creixement econòmic","Igualtat de gènere",4
6,"Quin és l'ODS6?",1,"Energia assequible i no contaminant","Aigua neta i sanejament","Treball decent i creixement econòmic","Igualtat de gènere",2
7,"Quin és l'ODS7?",1,"Energia assequible i no contaminant","Aigua neta i sanejament","Treball decent i creixement econòmic","Igualtat de gènere",1
8,"Quin és l'ODS8?",1,"Energia assequible i no contaminant","Aigua neta i sanejament","Treball decent i creixement econòmic","Igualtat de gènere",3
9,"Quin és l'ODS9?",1,"Reducció de les desigualtats","Ciutats i comunitats sostenibles","Indústria, innovació i infraestructura","Acció pel clima",3
10,"Quin és l'ODS12?",1,"Consum i producció responsables","Vida d'ecosistemes terrestres","Aliances per assolir els objectius","Vida submarina",1
11,"Quin és un aspecte clau de les aliances i sinèrgies públic-privat?",2,"Foment de la tecnologia","Foment de la Innovació","Responsabilitat econòmica corporativa","Programes de formació",2
12,"Quina és una caràcterística de l'economica circular",2,"Compromís amb la Sostenibilitat","Inclusió Social i Igualtat d'Oportunitats","Reciclatge i Valorització de Residus","Implementació de Projectes Conjunts",3
13,"Quin és un compromís social?",2,"Col·laboració en la presa de decisions","Col·laboració amb la Comunitat","Estratègies de Procés Eficients","Reciclatge i Valorització de Residus",2
14,"Quin és un repte social?",2,"Desplaçament de Poblacions","Contaminació Plàstica"," Desafiaments Urbans","Escassetat d'Aigua",1
15,"Quin és un repte ambiental?",2,"Desigualtats Socials","Pobresa i Inclusió Social","Escassetat d'Aigua","Desplaçament de Poblacions",3
16,"Quin és un impacte en el sector productiu/industrial?",2,"Oci en la qualitat de vida de les persones","Accés equitatiu a la sanitat","La ocupació i les condicions laborals","Garantir l'equitat i l'accés als serveis",3
17,"Quin no és un repte en el canvi en la crisi climàtica?",2,"Enfortir la resilència","Millorar l'educació","Promoure l'economia baixa en carboni","Pèrdua de biodiversitat",4
18,"Quin és un ODS important en el sector agrícola?",3,1,2,3,4,2
19,"Quin és un ODS important en el sector manufacturer?",3,8,9,10,11,2
20,"Quin és un ODS important en el sector energètic?",3,8,9,10,11,2
21,"Quin és un ODS important en el sector turístic?",3,8,9,10,11,1
22,"Quin és un ODS important en el sector tecnològic?",3,1,2,3,4,4
23,"Quin és un ODS important en el sector cura i atenció a les persones?",3,8,9,10,11,3
24,"Quin no és un risc associat als ODS",3,"Inacció o progrés insuficient","Desigualtats exacerbades","Interessos contraposats","Accés a finançament sostenible",4
25,"Quina no és una oportunitat associada als ODS",3,"Inacció o progrés insuficient","Col·laboració i innovació","Millora de la reputació i la marca","Accés a finançament sostenible",1
26,"Quina no és una mesura orientada a enfortir els aspectes de sostenibilitat i contribució de les actituds personals en la cosecució dels ODS?",3,"Educació i Conscienciació","Canvis en el Consum","Estalvi d'Energia i Aigua","Accés a finançament sostenible",4
27,"Quina és una activitat/s sostenible ambiental?",5,"Diversitat i inclusió","Energia renovables","Responsabilitat Financera","Innovació i millora continua",2
28,"Quina és una activitat/s sostenible social?",5,"Diversitat i inclusió","Energia renovables","Responsabilitat Financera","Innovació i millora continua",1
29,"Quina és una activitat/s sostenible econòmica?",5,"Diversitat i inclusió","Energia renovables","Responsabilitat Financera","Reducció d'emissions",3
30,"Quin són els objectius d'una economica circular?",5,"Justicia Social","Energia Renovable","Economia de serveis","Sostenibilitat ambientat",3
31,"Quin són els objectius d'una economica verda?",5,"Justicia Social","Cicle tancat","Economia de serveis","Disseny per a la longevitat",1
32,"Quin no és un pas d'un pla d'acció basat en economia verda i circular?",5,"Anàlisi de la situació actual","Definició d'objectius","Implementació de canvis","Pluja d'idees",4
